interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load_forecast.load_forecast,net_load,renewables,renewables_to_load_ratio,load.load,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other
2025-12-16T19:00:00-08:00,2025-12-17 03:00:00+00:00,2025-12-16T20:00:00-08:00,2025-12-17 04:00:00+00:00,28181.527916666667,25763.833333333333,5503.7500000000000000,0.19803182541895672355,27792.250000000000,-39.5000000000000000,2067.9166666666666667,727.4166666666666667,239.6666666666666667,152.4166666666666667,246.7500000000000000,0E-20,2195.4166666666666667,6825.5000000000000000,2109.0833333333333333,4448.5833333333333333,8934.5833333333333333,0E-20
2025-12-16T20:00:00-08:00,2025-12-17 04:00:00+00:00,2025-12-16T21:00:00-08:00,2025-12-17 05:00:00+00:00,27697.267291666667,25250.333333333333,5618.9166666666666667,0.20535850251874592646,27361.500000000000,-39.9166666666666667,2151.0833333333333333,728.3333333333333333,240.7500000000000000,152.3333333333333333,248.8333333333333333,0E-20,2195.7500000000000000,6788.1666666666666667,2137.5000000000000000,4199.1666666666666667,8509.0000000000000000,0E-20
2025-12-16T21:00:00-08:00,2025-12-17 05:00:00+00:00,2025-12-16T22:00:00-08:00,2025-12-17 06:00:00+00:00,26887.931666666667,24487.750000000000,5731.2500000000000000,0.21449556506443443388,26719.666666666667,-40.8333333333333333,2272.7500000000000000,743.3333333333333333,240.8333333333333333,151.4166666666666667,248.1666666666666667,0E-20,2002.7500000000000000,6783.5000000000000000,2115.5833333333333333,3427.4166666666666667,8690.9166666666666667,0E-20
2025-12-16T22:00:00-08:00,2025-12-17 06:00:00+00:00,2025-12-16T23:00:00-08:00,2025-12-17 07:00:00+00:00,25424.825000000000,23006.583333333333,5617.0833333333333333,0.22217571015142425528,25282.166666666667,-39.9166666666666667,2315.5000000000000000,729.8333333333333333,234.9166666666666667,151.3333333333333333,247.0000000000000000,0E-20,1547.4166666666666667,6715.1666666666666667,1978.4166666666666667,1675.9166666666666667,9626.2500000000000000,0E-20
2025-12-16T23:00:00-08:00,2025-12-17 07:00:00+00:00,2025-12-17T00:00:00-08:00,2025-12-17 08:00:00+00:00,23852.693125000000,21289.000000000000,5493.4166666666666667,0.23314729932376991201,23562.000000000000,-39.3333333333333333,2312.3333333333333333,730.5833333333333333,233.7500000000000000,151.7500000000000000,229.7500000000000000,0E-20,1279.2500000000000000,6257.0000000000000000,1874.5833333333333333,368.1666666666666667,10075.1666666666666667,0E-20
2025-12-17T00:00:00-08:00,2025-12-17 08:00:00+00:00,2025-12-17T01:00:00-08:00,2025-12-17 09:00:00+00:00,22697.411875000000,20882.500000000000,4807.3333333333333333,0.21134541830917803912,22746.333333333333,-40.0000000000000000,1903.8333333333333333,722.8333333333333333,233.7500000000000000,151.9166666666666667,216.5000000000000000,0E-20,1126.5833333333333333,6033.5833333333333333,1618.5000000000000000,671.1666666666666667,10018.3333333333333333,0E-20
2025-12-17T01:00:00-08:00,2025-12-17 09:00:00+00:00,2025-12-17T02:00:00-08:00,2025-12-17 10:00:00+00:00,21752.938541666667,19897.750000000000,4768.5833333333333333,0.21845842559364740350,21828.333333333333,-40.0000000000000000,1970.5833333333333333,719.6666666666666667,235.0000000000000000,152.1666666666666667,204.6666666666666667,0E-20,1124.8333333333333333,5458.8333333333333333,1526.5000000000000000,214.7500000000000000,10184.5833333333333333,0E-20
2025-12-17T02:00:00-08:00,2025-12-17 10:00:00+00:00,2025-12-17T03:00:00-08:00,2025-12-17 11:00:00+00:00,21011.897500000000,18819.500000000000,5178.3333333333333333,0.24513013909379956047,21124.833333333333,-40.1666666666666667,2345.5000000000000000,719.6666666666666667,236.8333333333333333,153.2500000000000000,205.3333333333333333,0E-20,1124.0000000000000000,4989.5000000000000000,1557.9166666666666667,-380.8333333333333333,10125.7500000000000000,0E-20
2025-12-17T03:00:00-08:00,2025-12-17 11:00:00+00:00,2025-12-17T04:00:00-08:00,2025-12-17 12:00:00+00:00,20666.468958333333,17800.083333333333,5875.8333333333333333,0.28369450636109792765,20711.833333333333,-40.0000000000000000,2951.7500000000000000,721.8333333333333333,235.0833333333333333,153.8333333333333333,206.0000000000000000,0E-20,1124.5000000000000000,5492.1666666666666667,1647.3333333333333333,224.9166666666666667,8013.1666666666666667,0E-20
2025-12-17T04:00:00-08:00,2025-12-17 12:00:00+00:00,2025-12-17T05:00:00-08:00,2025-12-17 13:00:00+00:00,20969.031041666667,17775.083333333333,6197.3333333333333333,0.29513921960821665555,20998.000000000000,-40.5000000000000000,3263.4166666666666667,722.8333333333333333,236.1666666666666667,152.4166666666666667,207.5000000000000000,0E-20,1125.2500000000000000,5626.9166666666666667,1655.5000000000000000,382.8333333333333333,7804.0000000000000000,0E-20
